'from_element'; 0.0489s
'nodes_ids'; 0.0139s
'prefixes_nodes'; 0.0451s
'prefixes'; 0.0454s
'__post_init__'; 0.0459s
'from_element'; 0.0459s
'nodes_ids'; 0.0114s
'prefixes_nodes'; 0.0448s
'prefixes'; 0.0450s
'__post_init__'; 0.0456s
'from_element'; 0.0456s
'ontologies'; 0.2594s
'nodes_ids'; 0.0090s
'nodes_ids'; 0.0016s
'get_ontology_contains_element_id'; 0.2700s
'get_relations'; 0.2701s
'relations_from_node'; 0.2701s
'relations_from'; 0.2701s
'to_turtle'; 0.2701s
'nodes_ids'; 0.0121s
'ontology_nodes'; 0.0461s
'nodes_ids'; 0.0131s
'prefixes_nodes'; 0.0464s
'prefixes'; 0.0467s
'_get_children_by_filter'; 0.0110s
'get_class_elements_children_of'; 0.0110s
'get_classes_children_of'; 0.0111s
'_get_children_by_filter'; 0.0110s
'get_named_instance_elements_children_of'; 0.0110s
'get_named_instances_children_of'; 0.0112s
'_get_children_by_filter'; 0.0100s
'get_datatype_elements_children_of'; 0.0100s
'get_datatypes_children_of'; 0.0101s
'__post_init__'; 0.0792s
'from_element'; 0.0792s
'nodes_ids'; 0.0126s
'prefixes_nodes'; 0.0455s
'prefixes'; 0.0457s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0018s
'_get_children_by_filter'; 0.0019s
'get_named_instance_elements_children_of'; 0.0019s
'get_named_instances_children_of'; 0.0019s
'_get_children_by_filter'; 0.0017s
'get_datatype_elements_children_of'; 0.0017s
'get_datatypes_children_of'; 0.0018s
'__post_init__'; 0.0512s
'from_element'; 0.0512s
'nodes_ids'; 0.0121s
'prefixes_nodes'; 0.0443s
'prefixes'; 0.0445s
'__post_init__'; 0.0452s
'from_element'; 0.0452s
'nodes_ids'; 0.0119s
'prefixes_nodes'; 0.0456s
'prefixes'; 0.0460s
'__post_init__'; 0.0467s
'from_element'; 0.0467s
'ontologies'; 0.2684s
'nodes_ids'; 0.0097s
'nodes_ids'; 0.0015s
'get_ontology_contains_element_id'; 0.2796s
'get_relations'; 0.2797s
'relations_from_node'; 0.2797s
'relations_from'; 0.2797s
'to_turtle'; 0.2798s
'nodes_ids'; 0.0135s
'ontology_nodes'; 0.0449s
'nodes_ids'; 0.0123s
'prefixes_nodes'; 0.0442s
'prefixes'; 0.0444s
'_get_children_by_filter'; 0.0100s
'get_class_elements_children_of'; 0.0100s
'get_classes_children_of'; 0.0100s
'_get_children_by_filter'; 0.0110s
'get_named_instance_elements_children_of'; 0.0110s
'get_named_instances_children_of'; 0.0112s
'_get_children_by_filter'; 0.0101s
'get_datatype_elements_children_of'; 0.0101s
'get_datatypes_children_of'; 0.0101s
'__post_init__'; 0.0757s
'from_element'; 0.0757s
'nodes_ids'; 0.0115s
'prefixes_nodes'; 0.0439s
'prefixes'; 0.0442s
'_get_children_by_filter'; 0.0019s
'get_class_elements_children_of'; 0.0019s
'get_classes_children_of'; 0.0020s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_datatype_elements_children_of'; 0.0017s
'get_datatypes_children_of'; 0.0017s
'__post_init__'; 0.0496s
'from_element'; 0.0496s
'nodes_ids'; 0.0123s
'prefixes_nodes'; 0.0442s
'prefixes'; 0.0445s
'__post_init__'; 0.0450s
'from_element'; 0.0450s
'nodes_ids'; 0.0120s
'prefixes_nodes'; 0.0435s
'prefixes'; 0.0437s
'__post_init__'; 0.0442s
'from_element'; 0.0442s
'ontologies'; 0.2596s
'named_instances'; 0.2596s
'nodes_ids'; 0.0124s
'ontology_nodes'; 0.0458s
'nodes_ids'; 0.0123s
'prefixes_nodes'; 0.0469s
'prefixes'; 0.0471s
'_get_children_by_filter'; 0.0098s
'get_class_elements_children_of'; 0.0098s
'get_classes_children_of'; 0.0098s
'_get_children_by_filter'; 0.0105s
'get_named_instance_elements_children_of'; 0.0105s
'get_named_instances_children_of'; 0.0107s
'_get_children_by_filter'; 0.0102s
'get_datatype_elements_children_of'; 0.0102s
